"lang"
{
	"Language"		"English"
	"Tokens"
	{
		

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\!empty.txt' begin 

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\!empty.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\main_gamemode.txt' begin 
"increaseon_game_name"			"Angel Arena Reborn"
"addon_game_name"				"Angel Arena Reborn"
"addon_name_t"					"Angel Arena"
"DOTA_GAMEMODE_15"				"Angel Arena"
"DOTA_GoodGuys"					"Angels"
"DOTA_BadGuys"					"Demons"
"select_kill_limit"				"Select Kill Limit"
"ANGEL_ARENA_ON_KILL"			"%s1 get <font color='#FFFF00'>%s2</font> bounty gold for kill!"

"cant_change"					"You can't change your hero while Timbersaw's ult is active."
"duel_nobody_wins" 				"Duel ends in"
"duel_next_duel" 				"Next duel in"
"duel_start"					"<font color='#FF1111'>[DUEL]</font> Begins!"
"duel_end"						"<font color='#FF1111'>[DUEL]</font> Has ended."
"duel_cont" 					"<font color='#FF1111'>[DUEL]</font> Will end in <font color='#58ACFA'> 90 seconds </font>. "
"duel_error"					"<font color='#FF1111'>[DUEL]</font> Not enough players."
"duel_nobody" 					"<font color='#FF1111'>[DUEL]</font> Time over! DRAW! Nobody won."
"duel_end_win_radiant"			"The angels triumph over the demons"
"duel_end_win_demons"			"The demons triumph over the angels"
"duel_10_sec_to_begin"			"Duel starts in 10 seconds!"
"duel_10_sec_to_end"			"Duel ends in 10 seconds!"
"game_ends_on_30_sec"			"Game ends in 30 seconds!"

"DOTA_Tooltip_modifier_tester"									"Aplha Tester"
"DOTA_Tooltip_modifier_tester_Description"						"Thanks for alpha testing!"

"DOTA_Tooltip_modifier_dcp_tester"								"DCP TESTER"
"DOTA_Tooltip_modifier_dcp_tester_Description"					"Alfach Tester"
"DOTA_Tooltip_modifier_sheo_dev"						"Game Developer"
"DOTA_Tooltip_modifier_sheo_dev_Description"			"Creating Angel Arena Reborn and play Minecraft"

"DOTA_Tooltip_modifier_duel_true_sight_aura"			"Duel True Sight"
	
"dota_hud_error_cast_only_hero_and_creeps"				"Item can't be used on non-hero and non-creeps"

"DOTA_Tooltip_modifier_banned_custom"					"Banned"
"DOTA_Tooltip_modifier_banned_custom_Description"		"That user is totaly retarded and banned in this custom game forever."

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\main_gamemode.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\!empty.txt' begin 

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\!empty.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\hero_change_guardian.txt' begin 
"npc_dota_custom_guardian"					"Hero Guardian"
"die_npc_dota_custom_guardian"				"Somebody killed the <font color='#58ACFA'>Hero Guardian</font>! Anyone can now change their heroes into gods."
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\hero_change_guardian.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\old_bosses.txt' begin 
"npc_monk_of_love"							"Monk of Love"
"npc_monk_of_hate"							"Monk of Hate"
"npc_monk_of_life"							"Monk of Life"
"npc_monk_of_death"							"Monk of Death"

"npc_angel_of_love"							"Angel of Love"
"npc_angel_of_hate"							"Angel of Hate"
"npc_angel_of_life"							"Angel of Life"
"npc_angel_of_death"						"Angel of Death"

"die_npc_monk_of_love"						"<font color='#58ACFA'>Monk Of Love</font> has been killed!"
"die_npc_monk_of_hate"						"<font color='#58ACFA'>Monk Of Hate</font> has been killed!"
"die_npc_monk_of_life"						"<font color='#58ACFA'>Monk Of Life</font> has been killed!"
"die_npc_monk_of_death"						"<font color='#58ACFA'>Monk Of Death</font> has been killed!"

"die_npc_angel_of_love"						"<font color='#58ACFA'>Angel Of Love</font> has been killed!"
"die_npc_angel_of_hate"						"<font color='#58ACFA'>Angel Of Hate</font> has been killed!"
"die_npc_angel_of_life"						"<font color='#58ACFA'>Angel Of Life</font> has been killed!"
"die_npc_angel_of_death"					"<font color='#58ACFA'>Angel Of Death</font> has been killed!"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\old_bosses.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\possessed.txt' begin 
"Demon_possessed"													"Possessed Demon"
"die_Demon_possessed"												"Somebody killed the <font color='#58ACFA'>Possessed demon</font>!"

"DOTA_Tooltip_ability_possessed_courage"							"Possessed Courage"

"DOTA_Tooltip_ability_possessed_courage_Description"				"The possessed can absorb half of the damage and counter attack in a big radius."
"DOTA_Tooltip_ability_possessed_courage_chance"						"%CHANCE:"
"DOTA_Tooltip_ability_possessed_courage_block_damage"				"%DAMAGE ABSORB:"
"DOTA_Tooltip_ability_possessed_courage_radius"						"ATTACK RADIUS:"

"DOTA_Tooltip_ability_possessed_stun"								"Possessed Stun"
"DOTA_Tooltip_ability_possessed_stun_Description"					"The possessed stuns everybody in a radius and deals damage depending on the max HP of the targets."
"DOTA_Tooltip_ability_possessed_stun_damage_pct"					"%DAMAGE:"
"DOTA_Tooltip_ability_possessed_stun_duration"						"DURATION:"
"DOTA_Tooltip_ability_possessed_stun_radius"						"RADIUS:"

"DOTA_Tooltip_modifier_possessed_stun"								"STUNNED"

"DOTA_Tooltip_ability_possessed_kraken"								"Demonic protection"
"DOTA_Tooltip_ability_possessed_kraken_Description"					"Removes negative status effects if the damage taken crosses a threshold."
"DOTA_Tooltip_ability_possessed_kraken_damage_cleanse"				"DAMAGE THRESHOLD:"

"DOTA_Tooltip_ability_possessed_bash"								"Possessed Luck"
"DOTA_Tooltip_ability_possessed_bash_Description"					"The possessed can see the enemies weakness. Stuns the enemy and deals damage that depends on the max HP targets."
"DOTA_Tooltip_ability_possessed_bash_chance"						"%CHANCE:"
"DOTA_Tooltip_ability_possessed_bash_bash_time"						"STUN DURATION:"
"DOTA_Tooltip_ability_possessed_bash_vampire"						"%VAMPIRE PERCENT:"
"DOTA_Tooltip_ability_possessed_bash_damage_pct"					"%MAX HP DAMAGE:"
"DOTA_Tooltip_modifier_possessed_bash_stun"							"STUNNED"

"DOTA_Tooltip_ability_possessed_fury"								"Possessed fury"
"DOTA_Tooltip_ability_possessed_fury_Description"					"The possessed kills all illusions that try to attack him.\nWhen the health of the possessed falls below 50 percent he gets 650 damage, 400 attack speed, BAT 0.5 and true strike.\n When the health falls below 25 percent the possesed gains a 20 percent chance to resist to all attacks."

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\possessed.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\traveler.txt' begin 
"npc_boss_travaler"												"Traveler"

"die_npc_boss_travaler"											"Somebody killed the <font color='#58ACFA'>Traveler</font>!"
	
"DOTA_Tooltip_ability_travaler_kraken"							"Traveling Protection"
"DOTA_Tooltip_ability_travaler_kraken_Description"				"Removes negative status effects if the damage taken crosses a threshold."
"DOTA_Tooltip_ability_travaler_kraken_damage_cleanse"			"DAMAGE THRESHOLD:"

"DOTA_Tooltip_ability_travaler_manaburn"						"Mana Burn"
"DOTA_Tooltip_ability_travaler_manaburn_Description"			"Burns an opponent's mana on each attack."
"DOTA_Tooltip_ability_travaler_manaburn_mana_per_hit"			"MANA BURNED PER HIT:"

"DOTA_Tooltip_ability_travaler_stun"							"Travaler Stun"
"DOTA_Tooltip_ability_travaler_stun_Description"				"Travaler stuns everybody in radius and deal damage that depends of max HP targets."
"DOTA_Tooltip_ability_travaler_stun_damage_pct"					"%DAMAGE:"
"DOTA_Tooltip_ability_travaler_stun_duration"					"DURATION:"
"DOTA_Tooltip_ability_travaler_stun_radius"						"RADIUS:"

"DOTA_Tooltip_ability_travaler_bash"							"Overpower of Travaler"
"DOTA_Tooltip_ability_travaler_bash_Description"				"Travaler can see the enemy's weakness', and he uses it against enemy. Stun the enemy and deal critical damage and deal damage that depends of max HP targets."
"DOTA_Tooltip_ability_travaler_bash_chance"						"%CHANCE:"
"DOTA_Tooltip_ability_travaler_bash_bash_time"					"STUN DURATION:"
"DOTA_Tooltip_ability_travaler_bash_crit"						"%CRITICAL DAMAGE:"
"DOTA_Tooltip_ability_travaler_bash_damage_pct"					"%MAX HP DAMAGE:"
"DOTA_Tooltip_modifier_travaler_bash_stun"						"STUNNED"

